112	228	77	225	111	172	172	211	166	97	229	24	
119	46	32	142	8	210	243	207	55	223	119	253	
52	40	57	61	95	146	56	208	119	133	177	230	
49	93	185	215	190	158	240	53	204	16	195	212	
227	182	163	26	150	27	23	202	67	81	8	163	
227	64	115	90	197	36	64	246	129	249	205	63	
151	189	116	99	206	55	56	177	238	219	203	132	
246	226	78	58	51	86	221	23	150	80	113	91	
116	178	81	245	171	31	52	67	220	168	166	170	
223	222	91	205	186	38	81	176	9	160	234	60	
246	199	83	141	23	197	232	139	119	58	128	34	
89	180	101	53	92	12	224	60	234	59	9	164	

86	228	86	225	86	172	172	211	166	97	229	24	
86	86	86	86	86	210	243	207	86	223	119	253	
86	86	86	86	86	86	86	208	86	86	177	230	
86	86	185	215	190	86	240	53	204	86	195	212	
227	182	86	86	86	86	86	202	86	86	86	86	
227	86	86	86	197	86	86	246	86	249	205	86	
151	189	86	86	206	86	86	177	238	219	203	86	
246	226	86	86	86	86	221	86	86	86	86	86	
116	178	86	245	171	86	86	86	220	168	166	170	
223	222	86	205	186	86	86	176	9	160	234	60	
246	199	86	86	86	197	232	139	119	58	128	34	
89	180	86	86	86	86	224	60	234	59	9	164	
