174	56	166	209	5	240	201	236	188	148	5	213	160	
88	55	49	84	130	52	170	194	234	194	95	179	29	
70	33	204	161	68	122	218	234	75	223	218	20	203	
151	168	208	108	73	40	164	122	124	38	175	38	233	
153	232	72	76	6	142	109	210	48	178	76	10	156	
151	233	119	171	181	14	83	133	122	156	174	30	23	
42	69	198	81	46	95	57	118	172	63	4	25	17	
52	203	93	62	104	244	40	223	159	221	237	243	98	
103	143	16	134	166	59	203	108	140	249	204	197	111	
120	5	115	145	22	168	93	116	230	197	104	14	164	
8	235	145	251	78	248	138	94	126	49	153	73	157	
37	66	105	235	177	225	240	37	115	6	205	208	122	
179	149	227	194	57	235	173	202	230	251	194	112	90	

90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
90	90	90	90	90	90	90	90	90	90	90	90	90	
